#              u               K              ΔK               V              ΔV           V_ext          ΔV_ext           V_int          ΔV_int               E              ΔE            E_mu           ΔE_mu             K/N            ΔK/N             V/N            ΔV/N             E/N            ΔE/N               N              ΔN             N^2            ΔN^2         density        Δdensity        diagonal       Δdiagonal
 -1.50000000E+01  1.78339959E+03  3.73967384E+00 -5.27673342E+03  3.78300269E+00 -4.31132269E+03  1.11005685E+00 -9.44509262E+02  2.84457092E+00 -3.49333383E+03  1.92080350E+00 -2.79540461E+03  1.95193364E+00  3.83276900E+01  5.27496034E-02 -1.13418344E+02  7.50571323E-02 -7.50906544E+01  9.09914405E-02  4.65286145E+01  5.47385159E-02  2.16530885E+03  5.08186079E+00  1.85033476E-02  2.17682364E-05  7.23416213E-01  1.29532420E-02
 -1.60000000E+01  2.01492923E+03  2.74189122E+00 -5.47815927E+03  3.90285762E+00 -4.55786079E+03  1.08777369E+00 -8.92125087E+02  3.02556724E+00 -3.46323004E+03  2.31357934E+00 -2.69490393E+03  1.79970893E+00  4.19603407E+01  3.62271836E-02 -1.14089084E+02  8.31605937E-02 -7.21287430E+01  7.72139435E-02  4.80203815E+01  6.67494012E-02  2.30633880E+03  6.43504574E+00  1.90965886E-02  2.65446833E-05  6.94204950E-01  1.31583694E-02
 -1.70000000E+01  1.75143573E+03  4.62757408E+00 -5.22271175E+03  5.86882794E+00 -4.29625810E+03  1.75056437E+00 -9.06244447E+02  4.12889577E+00 -3.47127602E+03  2.17133302E+00 -2.69958275E+03  1.59645209E+00  3.85814180E+01  4.23887679E-02 -1.15074248E+02  1.20176907E-01 -7.64928303E+01  1.34283545E-01  4.53937219E+01  9.70924354E-02  2.06134704E+03  8.83873195E+00  1.80520272E-02  3.86114030E-05  6.75845142E-01  1.12183915E-02
 -1.80000000E+01  1.72852171E+03  2.86261705E+00 -5.19516727E+03  3.66580696E+00 -4.28826976E+03  1.00709207E+00 -8.87444120E+02  2.75194719E+00 -3.46664556E+03  1.98627718E+00 -2.65781145E+03  1.48406382E+00  3.84678712E+01  3.96165889E-02 -1.15632990E+02  8.77506697E-02 -7.71651189E+01  8.68594460E-02  4.49352281E+01  6.45460645E-02  2.01979239E+03  5.82048600E+00  1.78696949E-02  2.56684678E-05  5.17886926E-01  9.11562932E-03
 -1.90000000E+01  1.71369687E+03  2.46051513E+00 -5.16962247E+03  2.89896325E+00 -4.28108794E+03  1.10163312E+00 -8.69050698E+02  1.87898155E+00 -3.45592560E+03  1.51406449E+00 -2.61097152E+03  1.45100457E+00  3.85347686E+01  3.69472266E-02 -1.16258642E+02  5.61141938E-02 -7.77238733E+01  6.17666132E-02  4.44712678E+01  4.38967017E-02  1.97810702E+03  3.91476118E+00  1.76851887E-02  1.74566965E-05  6.42596040E-01  1.15534832E-02
 -2.00000000E+01  1.70131347E+03  1.91404906E+00 -5.14995105E+03  1.65930983E+00 -4.27720830E+03  7.81479188E-01 -8.53327405E+02  1.05097655E+00 -3.44863757E+03  1.62123403E+00 -2.56733660E+03  1.54456758E+00  3.86094815E+01  3.68745727E-02 -1.16879205E+02  3.59464306E-02 -7.82697234E+01  4.63850034E-02  4.40650489E+01  2.49723092E-02  1.94196945E+03  2.21452489E+00  1.75236449E-02  9.93090616E-06  6.67091573E-01  1.05830825E-02
 -2.10000000E+01  1.69511676E+03  2.07697249E+00 -5.10914028E+03  2.43161852E+00 -4.26335791E+03  1.02088280E+00 -8.25991428E+02  1.58993079E+00 -3.41402352E+03  1.58811051E+00 -2.49295596E+03  1.42961145E+00  3.86496389E+01  3.35527820E-02 -1.16504379E+02  5.23586309E-02 -7.78547406E+01  5.71026210E-02  4.38603600E+01  3.81822071E-02  1.92429535E+03  3.34555130E+00  1.74422449E-02  1.51841754E-05  5.74818329E-01  1.04617558E-02
 -2.20000000E+01  1.67601858E+03  3.24787679E+00 -5.07304699E+03  4.33093617E+00 -4.25361016E+03  1.35903824E+00 -7.99921585E+02  3.00754923E+00 -3.39702842E+03  1.87188647E+00 -2.44729723E+03  1.33177923E+00  3.88270122E+01  3.28823218E-02 -1.17550854E+02  1.11445588E-01 -7.87238420E+01  1.12212972E-01  4.31695995E+01  7.69166098E-02  1.86468568E+03  6.64796605E+00  1.71675455E-02  3.05879470E-05  7.99067030E-01  7.15077913E-03
 -2.30000000E+01  1.87824394E+03  2.75902239E+00 -5.25991807E+03  3.15605540E+00 -4.49456971E+03  1.09640756E+00 -7.39075013E+02  2.17217938E+00 -3.38167413E+03  2.04698271E+00 -2.36644947E+03  1.78286651E+00  4.25606448E+01  4.36109843E-02 -1.19206658E+02  8.63202232E-02 -7.66460134E+01  8.54716672E-02  4.41402025E+01  5.69668478E-02  1.94960403E+03  5.02898519E+00  1.75535317E-02  2.26543902E-05  6.44366090E-01  6.82398035E-03
 -2.40000000E+01  1.83979289E+03  2.84642901E+00 -5.17951319E+03  4.43256959E+00 -4.46968831E+03  1.50737290E+00 -6.84222527E+02  2.96454181E+00 -3.33972029E+03  2.32215369E+00 -2.31890023E+03  1.29758701E+00  4.32799160E+01  4.59438302E-02 -1.21872053E+02  1.46490366E-01 -7.85921370E+01  1.18625132E-01  4.25341694E+01  8.60383974E-02  1.81156247E+03  7.30013637E+00  1.69148497E-02  3.42154690E-05  7.01023582E-01  6.57421525E-03
